Table 10. All Intervention Matches in single trials that included more than 1 neurodegenerative disorder.,,,,,,,,,,,,jlc,
Drug,Trial,Phase,Diagnosis,Number of Participants,Duration of Trial,Primary Outcome(s),Biomarker Outcome(s),Year Registered,Status,,,,
"es-citalopram, Memantine",NCT01876823,P2/P3,"AD, MCI",60,"Baseline, Week 48",Conversion to Dementia Using Clinical Dementia Rating (CDR); Change in Clinical Global Impression - Cognitive Change; Change in Clinical Global Impression - Depression Change; Change in Treatment Emergent Side Effects (TESS); Change in 24-item HAMD; Change in Trails A; Change in Trails B; Change in Selective Reminding Test - Delayed Recall (SRT-DR); Change in Wechsler Memory Scale-III (WMS-III); Change in Selective Reminding Test - Total Immediate Recall (SRT-IR),,2013,2014; Completed,,,drug,
"florbetapir 18F, 18F-FDG",NCT01890343,P2,"FTDLD, AD",34,50-60 minutes after injection,Quantitative Amyloid Image Assessment; Qualitative Amyloid Image Assessment,,2013,2014; Completed,,,biom,
Minocycline,NCT01463384,P2,"AD, MCI",13,"Baseline values, 1-3 Months Values (averaged), 4-6 Months Values (averaged)","Hippocampal Volumes Measured in Three Groups: Alzheimer Disease (AD), Mild Cognitive Impairment (MCI) and Normal, Age-matched Controls (NC).; Biomarker NAA/mI Measured in Three Groups: Alzheimer Disease (AD), Mild Cognitive Impairment (MCI) and Normal, Age-matched Controls (NC); Repeatable Battery for the Assessment of Neuropsychological Status (RBANS)",,2011,2014; Completed,,,drug,
"Mail and Live Phone, Interactive Voice Response (IVR), Home-based Computer Kiosk, Traditional Evaluation Instruments",NCT00546767,N/A,"AD, MCI",640,4 years,"Feasibility Data -- the number of subjects recruited, screened, enrolled, and retained; Efficiency Data -- staff time required to successfully complete data collection; Transition from cognitive health to impairment; Method-Specific Adherence, including medication adherence; Rate of change in domains of assessment; Research blood samples; Safety Assessments: symptom checklist and adverse event checklist",,2007,2014; Completed,,,device,
Flutemetamol (18F) Injection,NCT01028053,P3,"MCI, AD",365,Up to 36 m post flutemetamol administration.,The of Normal and Abnormal Subjects Who Convert to Probable Alzheimer's Disease (pAD) Within the Follow up Period.; Hazard Ratio (HR) by PET Scan Readers for Conversion to Probable Alzheimer's Disease Based on Visual Image Interpretation.,,2009,2014; Completed,,,biom,
BrainPalTM,NCT01661894,P1,"MCI, AD",82,After the BrainpalTM training program is completed,Total Score on the Repeatable Battery for the Assessment of Neuropsychological Status (RBANS); Number of Adverse Events reported by participants on the Safety Measurement Form; Usability Measurement; Relationship between genetic profile of participants and their performance on the BrainpalTM training program,,2012,2014; Completed,,,device,
"Droxidopa, Carbidopa, Entacapone",NCT00547911,P1/P2,"MSA, PD",14,Up to 24 hours after receiving drug(s),"Heart Rate After 400 mg of Droxidopa + 200 mg of Either Placebo, Carbidopa, or Entacapone; Diastolic Blood Pressures After 400 mg of Droxidopa + 200 mg of Either Placebo, Carbidopa, or Entacapone; Systolic Blood Pressures After 400 mg of Droxidopa + 200 mg of Either Placebo, Carbidopa, or Entacapone; Plasma DHPG Concentrations After 400 mg of Droxidopa + 200 mg of Either Placebo, Carbidopa, or Entacapone; Plasma DHMA Concentrations After 400 mg of Droxidopa + 200 mg of Either Placebo, Carbidopa, or Entacapone; Plasma Norepinephrine Concentrations After 400 mg of Droxidopa + 200 mg of Either Placebo, Carbidopa, or Entacapone; Plasma LDOPS Concentrations After 400 mg of Droxidopa + 200 mg of Either Placebo, Carbidopa, or Entacapone",,2007,2014; Terminated,,,drug,
testosterone gel,NCT00539305,P3,"AD, MCI",22,"Baseline, Month 3, Month 6",Short-Form Health Survey (SF-36); Geriatric Depression Scale (GDS); Cognitive Changes Measured by Neuropsychological Tests: Rey Auditory Verbal Learning Test; Behavioral & Mood Measure: Profile of Mood States (POMS),,2007,2014; Completed,,,drug,
[18F] CFPyPB,NCT01461109,P1,"AD, PD",4,Approximately 2 years,To assess the dynamic uptake and washout of [18F] CFPyPB; Perform blood metabolite characterization of [18F] CFPyPB; To obtain safety data; Obtain test/retest reproductibility,,2011,2014; Completed,,,biom,
[123I]-IBVM,NCT00480701,P2,"AD, PD",26,2 w to 6 m,Does 123-I IBVM SPECT provide a quantitative measure of acetylcholinergic transporters in Healthy controls and AD patients?; Does 123-I IBVM SPECT demonstrate reduced acetylcholinergic transporter binding in AD compared to healthy controls?; Does 123-I IBVM SPECT provide a reliable measure of acetylcholinergic transporters in healthy controls and AD patients?,,2007,2014; Completed,,,biom,
Insulin LISPRO,NCT01636596,N/A,"AD, MCI",0,30 w,cerebral glucose metabolism; cognition; general clinical improvement; basal metabolism,,2012,2014; Withdrawn,,,drug,
COGNISION™ System,NCT00938665,,"FTDLD, AD",204,Markers are collected at study visit,Electrophysiological markers of cognitive status,,2009,2014; Completed,,,device,
[18F]DPA-714 PET/ [18F]AV-45 PET/neuropsychological assessment,NCT02062099,P1,"AD, MCI",36,2 years,"Fixation and distribution of [18F]DPA-714 (Binding Potential BP); [18F]AV-45 Standard Uptake Values ratio; Relationship between [18F]DPA-714 uptake and cognitive, affective symptoms at baseline.",,2014,2014; Unknown status,,,biom,
[18F]Flutemetamol,NCT01672827,P3,"MCI, AD",276,Post flutemetamol administration,Summary of Specificity of Blinded Visual PET Image Interpretations Without Anatomic Images.; Inter-Reader Agreement of PET Images Without Anatomic Images; Summary of Sensitivity of the Blinded Visual PET Image Interpretations Without Anatomic Images.,,2012,2014; Completed,,,biom,
EVP-0962,NCT01661673,P2,"AD, MCI",52,0-36 hours post dose,"The number of adverse experiences reported by subjects and/or observed by investigator and repeated clinical evaluations of physical examinations, vital signs, 12-lead ECG (electrocardiogram), and lab tests (hematology, chemistry, urinalysis); To measure the rate of synthesis of Amyloid Beta in cerebral spinal fluid of healthy subjects; To measure the concentration of Amyloid Beta in cerebral spinal fluid; To measure the rate of synthesis of Amyloid Beta and steady-state levels in the cerebral spinal fluid in MCI or early Alzheimer's disease patients; To determine single-and repeat-dose EVP-0962 pharmacokinetics in cerebral spinal fluid and plasma",,2012,2014; Completed,,,drug,
Memory group,NCT01998711,N/A,"MCI, AD",62,,Self-report on memory performance in everyday activities; Self-report on use of memory strategies; Informant report on memory performance in everyday activities; Informant report on use of strategies; Assessment of psychological wellbeing; Neuropsychological measures of memory and attention,,2013,2013; Completed,,,behav,
Memantine,NCT00855686,P4,"DLB, PD",199,,No primary or secondary outcome measures are defined. This study is exploratory (see above under detailed description).,,2009,2013; Completed,,,drug,
colonoscopy or rectosigmoidoscopy,NCT01353183,N/A,"PSP, MSA, PD",34,3 m,Presence of alpha-synuclein aggregates in colonic biopsies using immunohistochemistry; Presence of alpha-synuclein aggregates in colonic biopsies using 2D electrophoresis,,2011,2013; Completed,,,biom,
florbetapir (18F),NCT01662882,P2/P3,"MCI, AD",48,50-60 min after injection,Mean Cortical to Cerebellum SUVR; Qualitative Amyloid Image Assessment,,2012,2013; Completed,,,biom,
Biomarker,NCT01874418,N/A,"MCI, AD",90,baseline,Oligomeric beta-amyloid 42 in serum; Total tau concentration in CSF; Phosphorylated tau concentration in CSF; Monomeric beta-amyloid 42 in CSF; PiB PET; FDG-PET; Brain MRI,,2013,2013; Unknown status,,,biom,
DAOI-B,NCT01600469,P2,"AD, MCI",86,"Week 0, 24","Change from baseline in Alzheimer's disease assessment scale-cognitive subscale in week 8, 16 and 24; Change from baseline in Mini Mental Status Examination at week 8, 16 and 24; Change from baseline in Instrumental Activities of Daily Living at week 8, 16 and 24; Change from baseline in Verbal learning and memory at week 24; Change from baseline in Digit Span subtest of the Wechsler Memory Scale at week 24",,2012,2013; Completed,,,drug,
CerefolinNAC®,NCT01370954,,"AD, MCI",204,"Baseline, Week 6 and Week 12",To determine overall patient satisfaction with CerefolinNAC® using a 9-point satisfaction scale; To determine if CerefolinNAC® affects a subject's quality of life as measured by the Quality of Life-Alzheimer's Disease Scale (QOL-AD),,2011,2013; Completed,,,drug,
"dimebon, alprazolam",NCT00975481,P1,"HD, AD",36,"0 (pre-dose), 0.5, 1, 2, 3, 4, 6, 8, 12, 24 hours post-dose",Other Subjective Effects- Addiction Research Center Inventory (ARCI) Benzedrine Group (BG): Maximum Effect (Emax) and Minimum Effect (Emin); Other Subjective Effects- Drug Similarity; Other Subjective Effects- Any Drug Effects: Peak Effect (Maximum Effect [Emax]); Sedative Effects- Alertness/Drowsiness: Minimum Effect (Emin); Sedative Effects- Addiction Research Center Inventory (ARCI) Pentobarbital Chlorpromazine Group (PCAG): Maximum Effect (Emax); Negative Effects- Addiction Research Center Inventory (ARCI) Lysergic Acid Diethylamide (LSD): Maximum Effect (Emax); Negative Effects- Bad Drug Effects: Peak Effect (Maximum Effect [Emax]); Positive Effects- High VAS: Peak Effect (Maximum Effect [Emax]); Positive Effects- Good Drug Effects: Peak Effect (Maximum Effect [Emax]); Positive Effects- Addiction Research Center Inventory (ARCI) Morphine Benzedrine Group (MBG): Maximum Effect (Emax); Balance of Effects- Subjective Drug Value (SDV): Maximum Effect (Emax); Balance of Effects- Good and Bad Effects VAS: Peak Effect (Maximum Effect [Emax]) and Minimum Effect (Emin); Balance of Effects- Take Drug Again VAS: Peak Effect (Maximum Effect [Emax]); Balance of Effects- Overall Drug Liking VAS: Peak Effect (Maximum Effect [Emax]) and Minimum Effect (Emin); Balance of Effects- Drug Liking VAS: Peak Effect (Maximum Effect [Emax]) and Minimum Effect (Emin),,2009,2013; Completed,,,drug,
florbetapir F 18,NCT00857506,P2,"MCI, AD",152,Baseline and 36 m,Correlation of Change in ADAS-Cog and SUVR; Covariate Adjusted Psychometric Score Change; Cognitive Decline in CN and AD Subjects; Change in ADAS-Cog in CN and AD Subjects; Cognitive Decline in MCI Subjects; Change in ADAS-Cog for MCI Subjects,,2009,2013; Completed,,,biom,
insulin detemir,NCT01547169,P2,"AD, MCI",60,Change from Baseline in Visual Working Memory at 3 Weeks,Verbal Memory Composite; Neuropsychological Test of Executive Function 1; Glucose Tolerance; Functional Ability; Plasma biomarkers of AD; Neuropsychological Test of Executive Functioning 2; Neuropsychological Tests of Visual Working Memory,,2012,2012; Completed,,,drug,
Ramelteon,NCT00907595,N/A,"HD, DLB, PD",0,2 w pre intervention; 4 w of the intervention; 2 w after intervention,"Sleep efficiency and other actigraphy derived sleep parameters; UHDRS, UPDRS, cognitive measures, mood symptoms, aggression measures, functional ability.",,2009,2012; Withdrawn,,,drug,
"Fast walking, Tai Chi, Intellectual stimulation, Contact and testing only",NCT01696019,N/A,"AD, MCI",120,"Baseline, 4 m, 8 m",Change in whole brain volume; Change in cognitive performance on battery of neuropsychological tests,,2012,2012; Completed,,,behav,
Regular Insulin,NCT00438568,P2,"AD, MCI",173,"every 8 w for 16 w, again at 8 w post-treatment (24 w)",Changes in cognition; glucose metabolism; plasma biological markers; CSF biological markers; cerebral glucose metabolism,,2007,2012; Completed,,,drug,
HPP854,NCT01482013,P1,"MCI, AD",7,Day -6 to Day 35,Number of Participant Adverse Events; Evaluation of participant plasma HPP854 concentrations; Change in cerebrospinal fluid concentration of Amyloid-Beta,,2011,2012; Terminated,,,drug,
"18F-AV-133, 18F-AV-45",NCT01503944,P1/P2,"PD, AD, DLB",30,Four Weeks,18F-AV-133 striatal to occipital standard uptake value ratio; 18F-AV-45 cortical to cerebellar standard uptake value ratio,,2012,2012; Completed,,,biom,
"Supressi. T-Diet plus Range, High Protein. T-Diet plus Range",NCT01192529,N/A,"PD, AD",184,8 m,Nutritional and cognitive status in elderly people; Biochemical parameters measure,,2010,2012; Unknown status,,,suppl,
florbetapir F 18,NCT01550549,N/A,"AD, MCI",151,Baseline scan,Individual Reader Results (Autopsy Within 1 Year of Scan); Individual Reader Results (All Scans With Autopsy); Median Sensitivity and Specificity vs. CERAD Diagnosis; Inter-reader Reliability; Specificity of Florbetapir-PET to Detect no or Sparse Beta-amyloid Neuritic Plaques (Probable/Definite Alzheimer's Disease); Sensitivity of Florbetapir-PET to Detect Moderate to Frequent Beta-amyloid Neuritic Plaques (Probable/Definite Alzheimer's Disease); Inter-rater Reliability,,2012,2012; Completed,,,biom,
florbetapir F 18,NCT00702143,P2,"MCI, AD",184,50-60 min after injection,Mean Cortical to Cerebellum SUVR; Proportion of Positive Florbetapir-PET Scans; Qualitative Amyloid Image Assessment,,2008,2012; Completed,,,biom,
[18F]-FEPPA,NCT00970333,P1,"PD, AD",3,one year,"The primary imaging outcome measure will be the brain regional distribution volumes expressed as a brain tissue to plasma ratio of the radioligand, [18F]-FEPPA.",,2009,2012; Completed,,,biom,
PET scan & fMRI,NCT00243451,,"AD, MCI",34,within the next three years,"Determine if the Cognitive Decline Index will discriminate subtle lesions earlier than the standard analysis of the Nuclear Medicine physician.; Determine if sensitivity, specificity, receiver-operator characteristics, and predictive value of our method are appropriate for translation into a clinically useful tool.",,2005,2011; Completed,,,biom,
TELEPHONE CALL,NCT00281749,P1,"PD, AD",,,,,2006,2011; Completed,,,behav,
Dimebon,NCT00825084,P1,"HD, AD",45,72 hours post last dose,"plasma drug concentrations; Safety will be including physical/neurological examination findings, clinical safety laboratory assessments, 12-lead ECGs, vital sign measurements and adverse event monitoring",,2009,2011; Completed,,,drug,
"Gastro-retentive zinc cysteine tablet, Tablet identical physically to active comparator containing some lactose",NCT01099332,P1/P2,"MCI, AD",60,6 to 12 m,"Biometal levels will be measured in serum by atomic absorption spectrometry; Serum zinc levels after oral administration of two different zinc-containing compounds and placebo will be determined by atomic absorption spectrometry; Comparison of mental status functions at baseline, 3 and 6 months in active comparator versus placebo groups.",,2010,2011; Unknown status,,,drug,
